neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,neighirhood_cluster,number_of_crimes,room_type,S_price,number_of_reviews,reviews_per_month,availability_365,number_of_crimes,crime rate
"West End, Foggy Bottom, GWU",Private room,148.4347826,13.13043478,1.034347826,128.6521739,Entire home/apt,210.0189573,18.507109,1.442938389,169.4028436,Cluster 5,547,Shared room,78.33333333,27.8,1.558666667,138.1333333,547,1.672578278
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,120.6,18.8,5.608,95.2,Entire home/apt,483.3333333,10.66666667,1.53,337.6666667,Cluster 36,299,,,,,,299,0.914261252
"Woodridge, Fort Lincoln, Gateway",Private room,74.82758621,14.24137931,1.482758621,202.8965517,Entire home/apt,264.3103448,17.06896552,1.332068966,158.2758621,Cluster 24,589,,,,,,589,1.801002935
Walter Reed,,,,,,,,,,,Cluster 40,,,,,,,,
Rock Creek Park,,,,,,,,,,,Cluster 41,,,,,,,,
Observatory Circle,,,,,,,,,,,Cluster 42,,,,,,,,
Saint Elizabeths,,,,,,,,,,,Cluster 43,,,,,,,,
Joint Base Anacostia-Bolling,,,,,,,,,,,Cluster 44,,,,,,,,
"Arboretum, Anacostia River",,,,,,,,,,,Cluster 46,,,,,,,,
"National Mall, Potomac River",,,,,,,,,,,Cluster 45,,,,,,,,
